timestamp,hour,day_of_week,total_traffic
2024-01-01 00:00:00,0,0,49.12114278502448
2024-01-01 01:00:00,1,0,50.42503267374538
2024-01-01 02:00:00,2,0,44.52733422732709
2024-01-01 03:00:00,3,0,54.884940287956525
2024-01-01 04:00:00,4,0,43.36862712464048
2024-01-01 05:00:00,5,0,49.50600695471555
2024-01-01 06:00:00,6,0,186.55649318769235
2024-01-01 07:00:00,7,0,168.57872551863093
2024-01-01 08:00:00,8,0,128.7522154770065
2024-01-01 09:00:00,9,0,171.0615491363587
2024-01-01 10:00:00,10,0,142.2080458468551
2024-01-01 11:00:00,11,0,89.13155799398113
2024-01-01 12:00:00,12,0,104.41507366844522
2024-01-01 13:00:00,13,0,72.1817454426465
2024-01-01 14:00:00,14,0,70.7919889275467
2024-01-01 15:00:00,15,0,92.55527039809579
2024-01-01 16:00:00,16,0,81.7701717568821
2024-01-01 17:00:00,17,0,205.8343733514317
2024-01-01 18:00:00,18,0,173.8680024331943
2024-01-01 19:00:00,19,0,157.52905101791944
2024-01-01 20:00:00,20,0,237.3704015741158
2024-01-01 21:00:00,21,0,197.28208967041832
2024-01-01 22:00:00,22,0,83.2497000272611
2024-01-01 23:00:00,23,0,69.85214440104161
2024-01-02 00:00:00,0,1,51.263691746317136
2024-01-02 01:00:00,1,1,50.41871610489228
2024-01-02 02:00:00,2,1,50.65560304068886
2024-01-02 03:00:00,3,1,47.684826897105104
2024-01-02 04:00:00,4,1,44.84328996536387
2024-01-02 05:00:00,5,1,46.147607456469075
2024-01-02 06:00:00,6,1,150.26444143887923
2024-01-02 07:00:00,7,1,201.11178444538808
2024-01-02 08:00:00,8,1,159.65308446572837
2024-01-02 09:00:00,9,1,140.6477198179851
2024-01-02 10:00:00,10,1,170.37702924210703
2024-01-02 11:00:00,11,1,87.51468811226131
2024-01-02 12:00:00,12,1,107.66372947940908
2024-01-02 13:00:00,13,1,78.3696060683181
2024-01-02 14:00:00,14,1,83.50494856708873
2024-01-02 15:00:00,15,1,106.1758500228883
2024-01-02 16:00:00,16,1,119.33539122773267
2024-01-02 17:00:00,17,1,218.87926321719291
2024-01-02 18:00:00,18,1,203.6225066130747
2024-01-02 19:00:00,19,1,201.7906496340193
2024-01-02 20:00:00,20,1,165.89659458464678
2024-01-02 21:00:00,21,1,178.61378444217422
2024-01-02 22:00:00,22,1,80.1655910619909
2024-01-02 23:00:00,23,1,98.14431015657178
2024-01-03 00:00:00,0,2,58.20023463806017
2024-01-03 01:00:00,1,2,35.55547055673313
2024-01-03 02:00:00,2,2,55.028214681289
2024-01-03 03:00:00,3,2,41.79030865745486
2024-01-03 04:00:00,4,2,58.12543453658816
2024-01-03 05:00:00,5,2,52.933946678034346
2024-01-03 06:00:00,6,2,193.95900754221043
2024-01-03 07:00:00,7,2,190.21751083897712
2024-01-03 08:00:00,8,2,142.03426272642167
2024-01-03 09:00:00,9,2,152.53340297493457
2024-01-03 10:00:00,10,2,174.0396465728101
2024-01-03 11:00:00,11,2,121.87487441160359
2024-01-03 12:00:00,12,2,102.60604828634376
2024-01-03 13:00:00,13,2,104.52248893101243
2024-01-03 14:00:00,14,2,82.83968085657237
2024-01-03 15:00:00,15,2,79.11025060704665
2024-01-03 16:00:00,16,2,124.54009731197728
2024-01-03 17:00:00,17,2,254.48881205404453
2024-01-03 18:00:00,18,2,215.25427257197018
2024-01-03 19:00:00,19,2,251.07647388749962
2024-01-03 20:00:00,20,2,235.81220207197217
2024-01-03 21:00:00,21,2,200.89648314155005
2024-01-03 22:00:00,22,2,90.27235812604326
2024-01-03 23:00:00,23,2,107.41911739669509
2024-01-04 00:00:00,0,3,50.509322426619896
2024-01-04 01:00:00,1,3,67.61246629466902
2024-01-04 02:00:00,2,3,45.19589551059473
2024-01-04 03:00:00,3,3,65.62709044224569
2024-01-04 04:00:00,4,3,48.31675712985715
2024-01-04 05:00:00,5,3,51.97393138577655
2024-01-04 06:00:00,6,3,170.2191815961992
2024-01-04 07:00:00,7,3,127.28534973622553
2024-01-04 08:00:00,8,3,169.85126947857714
2024-01-04 09:00:00,9,3,188.19714118200005
2024-01-04 10:00:00,10,3,204.0167356272145
2024-01-04 11:00:00,11,3,103.57197624323351
2024-01-04 12:00:00,12,3,106.80184544448623
2024-01-04 13:00:00,13,3,107.82757569081826
2024-01-04 14:00:00,14,3,137.12894408630063
2024-01-04 15:00:00,15,3,122.11459665667873
2024-01-04 16:00:00,16,3,100.0760533914522
2024-01-04 17:00:00,17,3,238.09079692811991
2024-01-04 18:00:00,18,3,225.0334182984615
2024-01-04 19:00:00,19,3,261.1588026516129
2024-01-04 20:00:00,20,3,215.75895766646116
2024-01-04 21:00:00,21,3,229.82652399224608
2024-01-04 22:00:00,22,3,91.70628290059638
2024-01-04 23:00:00,23,3,80.98377098415557
2024-01-05 00:00:00,0,4,58.87663999911903
2024-01-05 01:00:00,1,4,55.784252549360055
2024-01-05 02:00:00,2,4,64.28107740194253
2024-01-05 03:00:00,3,4,60.68088096094611
2024-01-05 04:00:00,4,4,52.04499741940197
2024-01-05 05:00:00,5,4,59.4129854665728
2024-01-05 06:00:00,6,4,173.39077901564858
2024-01-05 07:00:00,7,4,167.16442983794894
2024-01-05 08:00:00,8,4,182.60407084410053
2024-01-05 09:00:00,9,4,192.41832232525064
2024-01-05 10:00:00,10,4,229.49747599186736
2024-01-05 11:00:00,11,4,125.71271339309698
2024-01-05 12:00:00,12,4,122.33005837283665
2024-01-05 13:00:00,13,4,122.44279689077469
2024-01-05 14:00:00,14,4,78.48964278032093
2024-01-05 15:00:00,15,4,124.7922080033935
2024-01-05 16:00:00,16,4,115.1115290801083
2024-01-05 17:00:00,17,4,315.32627980853226
2024-01-05 18:00:00,18,4,230.00340126443552
2024-01-05 19:00:00,19,4,251.81336518538052
2024-01-05 20:00:00,20,4,238.78902077920316
2024-01-05 21:00:00,21,4,196.9658790805974
2024-01-05 22:00:00,22,4,111.81737192927264
2024-01-05 23:00:00,23,4,102.13359250807774
2024-01-06 00:00:00,0,5,52.96537736576056
2024-01-06 01:00:00,1,5,40.91438489709571
2024-01-06 02:00:00,2,5,53.28967932615264
2024-01-06 03:00:00,3,5,33.90382544235868
2024-01-06 04:00:00,4,5,44.69419576496441
2024-01-06 05:00:00,5,5,52.56385713563948
2024-01-06 06:00:00,6,5,121.4538585488604
